nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,Unnamed: 18
AB,Intensity Max,410,410,410,0,410,410,410,410,1,,Surface,2,,,Image 1,,1,
AB,Intensity Max,375,375,375,0,375,375,375,375,1,,Surface,2,,,Image 1,,2,
AB,Intensity Max,311,311,311,0,311,311,311,311,1,,Surface,2,,,Image 1,,3,
AB,Intensity Max,308,308,308,0,308,308,308,308,1,,Surface,2,,,Image 1,,4,
,,,,,,,,,,,,,,,,,,,
P1,Intensity Max,337,337,337,0,337,337,337,337,1,,Surface,2,,,Image 1,,1,
P1,Intensity Max,353,353,353,0,353,353,353,353,1,,Surface,2,,,Image 1,,2,
P1,Intensity Max,345,345,345,0,345,345,345,345,1,,Surface,2,,,Image 1,,3,
P1,Intensity Max,324,324,324,0,324,324,324,324,1,,Surface,2,,,Image 1,,4,
P1,Intensity Max,292,292,292,0,292,292,292,292,1,,Surface,2,,,Image 1,,5,
P1,Intensity Max,245,245,245,0,245,245,245,245,1,,Surface,2,,,Image 1,,6,
,,,,,,,,,,,,,,,,,,,
ABa,Intensity Max,264,264,264,0,264,264,264,264,1,,Surface,2,,,Image 1,,9,
ABa,Intensity Max,286,286,286,0,286,286,286,286,1,,Surface,2,,,Image 1,,10,
ABa,Intensity Max,364,364,364,0,364,364,364,364,1,,Surface,2,,,Image 1,,11,
ABa,Intensity Max,340,340,340,0,340,340,340,340,1,,Surface,2,,,Image 1,,12,
ABa,Intensity Max,572,572,572,0,572,572,572,572,1,,Surface,2,,,Image 1,,13,
ABa,Intensity Max,654,654,654,0,654,654,654,654,1,,Surface,2,,,Image 1,,14,
ABa,Intensity Max,424,424,424,0,424,424,424,424,1,,Surface,2,,,Image 1,,15,
ABa,Intensity Max,386,386,386,0,386,386,386,386,1,,Surface,2,,,Image 1,,16,
ABa,Intensity Max,376,376,376,0,376,376,376,376,1,,Surface,2,,,Image 1,,17,
ABa,Intensity Max,363,363,363,0,363,363,363,363,1,,Surface,2,,,Image 1,,18,
ABa,Intensity Max,234,234,234,0,234,234,234,234,1,,Surface,2,,,Image 1,,19,
,,,,,,,,,,,,,,,,,,,
ABp,Intensity Max,229,229,229,0,229,229,229,229,1,,Surface,2,,,Image 1,,9,
ABp,Intensity Max,317,317,317,0,317,317,317,317,1,,Surface,2,,,Image 1,,10,
ABp,Intensity Max,317,317,317,0,317,317,317,317,1,,Surface,2,,,Image 1,,11,
ABp,Intensity Max,359,359,359,0,359,359,359,359,1,,Surface,2,,,Image 1,,12,
ABp,Intensity Max,655,655,655,0,655,655,655,655,1,,Surface,2,,,Image 1,,13,
ABp,Intensity Max,667,667,667,0,667,667,667,667,1,,Surface,2,,,Image 1,,14,
ABp,Intensity Max,527,527,527,0,527,527,527,527,1,,Surface,2,,,Image 1,,15,
ABp,Intensity Max,387,387,387,0,387,387,387,387,1,,Surface,2,,,Image 1,,16,
ABp,Intensity Max,355,355,355,0,355,355,355,355,1,,Surface,2,,,Image 1,,17,
ABp,Intensity Max,317,317,317,0,317,317,317,317,1,,Surface,2,,,Image 1,,18,
ABp,Intensity Max,139,139,139,0,139,139,139,139,1,,Surface,2,,,Image 1,,19,
,,,,,,,,,,,,,,,,,,,
EMS,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,2,,,Image 1,,10,
EMS,Intensity Max,270,270,270,0,270,270,270,270,1,,Surface,2,,,Image 1,,11,
EMS,Intensity Max,302,302,302,0,302,302,302,302,1,,Surface,2,,,Image 1,,12,
EMS,Intensity Max,798,798,798,0,798,798,798,798,1,,Surface,2,,,Image 1,,13,
EMS,Intensity Max,1256,1256,1256,0,1256,1256,1256,1256,1,,Surface,2,,,Image 1,,14,
EMS,Intensity Max,2558,2558,2558,0,2558,2558,2558,2558,1,,Surface,2,,,Image 1,,15,
EMS,Intensity Max,2603,2603,2603,0,2603,2603,2603,2603,1,,Surface,2,,,Image 1,,16,
EMS,Intensity Max,2866,2866,2866,0,2866,2866,2866,2866,1,,Surface,2,,,Image 1,,17,
EMS,Intensity Max,3380,3380,3380,0,3380,3380,3380,3380,1,,Surface,2,,,Image 1,,18,
EMS,Intensity Max,1613,1613,1613,0,1613,1613,1613,1613,1,,Surface,2,,,Image 1,,19,
EMS,Intensity Max,490,490,490,0,490,490,490,490,1,,Surface,2,,,Image 1,,20,
EMS,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,2,,,Image 1,,21,
EMS,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,2,,,Image 1,,22,
EMS,Intensity Max,290,290,290,0,290,290,290,290,1,,Surface,2,,,Image 1,,23,
EMS,Intensity Max,160,160,160,0,160,160,160,160,1,,Surface,2,,,Image 1,,24,
,,,,,,,,,,,,,,,,,,,
P2,Intensity Max,191,191,191,0,191,191,191,191,1,,Surface,2,,,Image 1,,10,
P2,Intensity Max,263,263,263,0,263,263,263,263,1,,Surface,2,,,Image 1,,11,
P2,Intensity Max,321,321,321,0,321,321,321,321,1,,Surface,2,,,Image 1,,12,
P2,Intensity Max,279,279,279,0,279,279,279,279,1,,Surface,2,,,Image 1,,13,
P2,Intensity Max,404,404,404,0,404,404,404,404,1,,Surface,2,,,Image 1,,14,
P2,Intensity Max,476,476,476,0,476,476,476,476,1,,Surface,2,,,Image 1,,15,
P2,Intensity Max,1205,1205,1205,0,1205,1205,1205,1205,1,,Surface,2,,,Image 1,,16,
P2,Intensity Max,1539,1539,1539,0,1539,1539,1539,1539,1,,Surface,2,,,Image 1,,17,
P2,Intensity Max,1274,1274,1274,0,1274,1274,1274,1274,1,,Surface,2,,,Image 1,,18,
P2,Intensity Max,1229,1229,1229,0,1229,1229,1229,1229,1,,Surface,2,,,Image 1,,19,
P2,Intensity Max,554,554,554,0,554,554,554,554,1,,Surface,2,,,Image 1,,20,
P2,Intensity Max,286,286,286,0,286,286,286,286,1,,Surface,2,,,Image 1,,21,
P2,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,2,,,Image 1,,22,
P2,Intensity Max,244,244,244,0,244,244,244,244,1,,Surface,2,,,Image 1,,23,
P2,Intensity Max,256,256,256,0,256,256,256,256,1,,Surface,2,,,Image 1,,24,
P2,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,2,,,Image 1,,25,
P2,Intensity Max,225,225,225,0,225,225,225,225,1,,Surface,2,,,Image 1,,26,
P2,Intensity Max,246,246,246,0,246,246,246,246,1,,Surface,2,,,Image 1,,27,
,,,,,,,,,,,,,,,,,,,
ABal,Intensity Max,587,587,587,0,587,587,587,587,1,,Surface,2,,,Image 1,,25,
ABal,Intensity Max,888,888,888,0,888,888,888,888,1,,Surface,2,,,Image 1,,26,
ABal,Intensity Max,464,464,464,0,464,464,464,464,1,,Surface,2,,,Image 1,,27,
ABal,Intensity Max,629,629,629,0,629,629,629,629,1,,Surface,2,,,Image 1,,28,
ABal,Intensity Max,1450,1450,1450,0,1450,1450,1450,1450,1,,Surface,2,,,Image 1,,29,
ABal,Intensity Max,874,874,874,0,874,874,874,874,1,,Surface,2,,,Image 1,,30,
ABal,Intensity Max,1441,1441,1441,0,1441,1441,1441,1441,1,,Surface,2,,,Image 1,,31,
ABal,Intensity Max,871,871,871,0,871,871,871,871,1,,Surface,2,,,Image 1,,32,
ABal,Intensity Max,524,524,524,0,524,524,524,524,1,,Surface,2,,,Image 1,,33,
ABal,Intensity Max,269,269,269,0,269,269,269,269,1,,Surface,2,,,Image 1,,34,
ABal,Intensity Max,268,268,268,0,268,268,268,268,1,,Surface,2,,,Image 1,,35,
ABal,Intensity Max,241,241,241,0,241,241,241,241,1,,Surface,2,,,Image 1,,36,
ABal,Intensity Max,247,247,247,0,247,247,247,247,1,,Surface,2,,,Image 1,,37,
,,,,,,,,,,,,,,,,,,,
ABar,Intensity Max,276,276,276,0,276,276,276,276,1,,Surface,2,,,Image 1,,24,
ABar,Intensity Max,277,277,277,0,277,277,277,277,1,,Surface,2,,,Image 1,,25,
ABar,Intensity Max,311,311,311,0,311,311,311,311,1,,Surface,2,,,Image 1,,26,
ABar,Intensity Max,938,938,938,0,938,938,938,938,1,,Surface,2,,,Image 1,,27,
ABar,Intensity Max,2294,2294,2294,0,2294,2294,2294,2294,1,,Surface,2,,,Image 1,,28,
ABar,Intensity Max,3070,3070,3070,0,3070,3070,3070,3070,1,,Surface,2,,,Image 1,,29,
ABar,Intensity Max,2762,2762,2762,0,2762,2762,2762,2762,1,,Surface,2,,,Image 1,,30,
ABar,Intensity Max,2438,2438,2438,0,2438,2438,2438,2438,1,,Surface,2,,,Image 1,,31,
ABar,Intensity Max,1645,1645,1645,0,1645,1645,1645,1645,1,,Surface,2,,,Image 1,,32,
ABar,Intensity Max,683,683,683,0,683,683,683,683,1,,Surface,2,,,Image 1,,33,
ABar,Intensity Max,294,294,294,0,294,294,294,294,1,,Surface,2,,,Image 1,,34,
ABar,Intensity Max,298,298,298,0,298,298,298,298,1,,Surface,2,,,Image 1,,35,
ABar,Intensity Max,276,276,276,0,276,276,276,276,1,,Surface,2,,,Image 1,,36,
ABar,Intensity Max,248,248,248,0,248,248,248,248,1,,Surface,2,,,Image 1,,37,
,,,,,,,,,,,,,,,,,,,
ABpr,Intensity Max,506,506,506,0,506,506,506,506,1,,Surface,2,,,Image 1,,24,
ABpr,Intensity Max,466,466,466,0,466,466,466,466,1,,Surface,2,,,Image 1,,25,
ABpr,Intensity Max,450,450,450,0,450,450,450,450,1,,Surface,2,,,Image 1,,26,
ABpr,Intensity Max,1483,1483,1483,0,1483,1483,1483,1483,1,,Surface,2,,,Image 1,,27,
ABpr,Intensity Max,2471,2471,2471,0,2471,2471,2471,2471,1,,Surface,2,,,Image 1,,28,
ABpr,Intensity Max,2745,2745,2745,0,2745,2745,2745,2745,1,,Surface,2,,,Image 1,,29,
ABpr,Intensity Max,2397,2397,2397,0,2397,2397,2397,2397,1,,Surface,2,,,Image 1,,30,
ABpr,Intensity Max,1800,1800,1800,0,1800,1800,1800,1800,1,,Surface,2,,,Image 1,,31,
ABpr,Intensity Max,1459,1459,1459,0,1459,1459,1459,1459,1,,Surface,2,,,Image 1,,32,
ABpr,Intensity Max,277,277,277,0,277,277,277,277,1,,Surface,2,,,Image 1,,33,
ABpr,Intensity Max,237,237,237,0,237,237,237,237,1,,Surface,2,,,Image 1,,34,
ABpr,Intensity Max,249,249,249,0,249,249,249,249,1,,Surface,2,,,Image 1,,35,
ABpr,Intensity Max,244,244,244,0,244,244,244,244,1,,Surface,2,,,Image 1,,36,
,,,,,,,,,,,,,,,,,,,
MS,Intensity Max,864,864,864,0,864,864,864,864,1,,Surface,2,,,Image 1,,28,
MS,Intensity Max,2979,2979,2979,0,2979,2979,2979,2979,1,,Surface,2,,,Image 1,,29,
MS,Intensity Max,2524,2524,2524,0,2524,2524,2524,2524,1,,Surface,2,,,Image 1,,30,
MS,Intensity Max,3203,3203,3203,0,3203,3203,3203,3203,1,,Surface,2,,,Image 1,,31,
MS,Intensity Max,3469,3469,3469,0,3469,3469,3469,3469,1,,Surface,2,,,Image 1,,32,
MS,Intensity Max,4498,4498,4498,0,4498,4498,4498,4498,1,,Surface,2,,,Image 1,,33,
MS,Intensity Max,4066,4066,4066,0,4066,4066,4066,4066,1,,Surface,2,,,Image 1,,34,
MS,Intensity Max,4569,4569,4569,0,4569,4569,4569,4569,1,,Surface,2,,,Image 1,,35,
MS,Intensity Max,3637,3637,3637,0,3637,3637,3637,3637,1,,Surface,2,,,Image 1,,36,
MS,Intensity Max,4213,4213,4213,0,4213,4213,4213,4213,1,,Surface,2,,,Image 1,,37,
MS,Intensity Max,3459,3459,3459,0,3459,3459,3459,3459,1,,Surface,2,,,Image 1,,38,
MS,Intensity Max,3961,3961,3961,0,3961,3961,3961,3961,1,,Surface,2,,,Image 1,,39,
MS,Intensity Max,3174,3174,3174,0,3174,3174,3174,3174,1,,Surface,2,,,Image 1,,40,
MS,Intensity Max,3521,3521,3521,0,3521,3521,3521,3521,1,,Surface,2,,,Image 1,,41,
MS,Intensity Max,1723,1723,1723,0,1723,1723,1723,1723,1,,Surface,2,,,Image 1,,42,
MS,Intensity Max,362,362,362,0,362,362,362,362,1,,Surface,2,,,Image 1,,43,
MS,Intensity Max,314,314,314,0,314,314,314,314,1,,Surface,2,,,Image 1,,44,
MS,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,2,,,Image 1,,45,
MS,Intensity Max,282,282,282,0,282,282,282,282,1,,Surface,2,,,Image 1,,46,
MS,Intensity Max,257,257,257,0,257,257,257,257,1,,Surface,2,,,Image 1,,47,
,,,,,,,,,,,,,,,,,,,
E,Intensity Max,1455,1455,1455,0,1455,1455,1455,1455,1,,Surface,2,,,Image 1,,28,
E,Intensity Max,1780,1780,1780,0,1780,1780,1780,1780,1,,Surface,2,,,Image 1,,29,
E,Intensity Max,1766,1766,1766,0,1766,1766,1766,1766,1,,Surface,2,,,Image 1,,30,
E,Intensity Max,1598,1598,1598,0,1598,1598,1598,1598,1,,Surface,2,,,Image 1,,31,
E,Intensity Max,4494,4494,4494,0,4494,4494,4494,4494,1,,Surface,2,,,Image 1,,32,
E,Intensity Max,2808,2808,2808,0,2808,2808,2808,2808,1,,Surface,2,,,Image 1,,33,
E,Intensity Max,3957,3957,3957,0,3957,3957,3957,3957,1,,Surface,2,,,Image 1,,34,
E,Intensity Max,4751,4751,4751,0,4751,4751,4751,4751,1,,Surface,2,,,Image 1,,35,
E,Intensity Max,3654,3654,3654,0,3654,3654,3654,3654,1,,Surface,2,,,Image 1,,36,
E,Intensity Max,4158,4158,4158,0,4158,4158,4158,4158,1,,Surface,2,,,Image 1,,37,
E,Intensity Max,3523,3523,3523,0,3523,3523,3523,3523,1,,Surface,2,,,Image 1,,38,
E,Intensity Max,4057,4057,4057,0,4057,4057,4057,4057,1,,Surface,2,,,Image 1,,39,
E,Intensity Max,3439,3439,3439,0,3439,3439,3439,3439,1,,Surface,2,,,Image 1,,40,
E,Intensity Max,4727,4727,4727,0,4727,4727,4727,4727,1,,Surface,2,,,Image 1,,41,
E,Intensity Max,3241,3241,3241,0,3241,3241,3241,3241,1,,Surface,2,,,Image 1,,42,
E,Intensity Max,1947,1947,1947,0,1947,1947,1947,1947,1,,Surface,2,,,Image 1,,43,
E,Intensity Max,328,328,328,0,328,328,328,328,1,,Surface,2,,,Image 1,,44,
E,Intensity Max,285,285,285,0,285,285,285,285,1,,Surface,2,,,Image 1,,45,
E,Intensity Max,291,291,291,0,291,291,291,291,1,,Surface,2,,,Image 1,,46,
E,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,2,,,Image 1,,47,
E,Intensity Max,253,253,253,0,253,253,253,253,1,,Surface,2,,,Image 1,,48,
,,,,,,,,,,,,,,,,,,,
P3,Intensity Max,282,282,282,0,282,282,282,282,1,,Surface,2,,,Image 1,,32,
P3,Intensity Max,901,901,901,0,901,901,901,901,1,,Surface,2,,,Image 1,,33,
P3,Intensity Max,1975,1975,1975,0,1975,1975,1975,1975,1,,Surface,2,,,Image 1,,34,
P3,Intensity Max,1222,1222,1222,0,1222,1222,1222,1222,1,,Surface,2,,,Image 1,,35,
P3,Intensity Max,696,696,696,0,696,696,696,696,1,,Surface,2,,,Image 1,,36,
P3,Intensity Max,283,283,283,0,283,283,283,283,1,,Surface,2,,,Image 1,,37,
P3,Intensity Max,309,309,309,0,309,309,309,309,1,,Surface,2,,,Image 1,,38,
P3,Intensity Max,296,296,296,0,296,296,296,296,1,,Surface,2,,,Image 1,,39,
P3,Intensity Max,277,277,277,0,277,277,277,277,1,,Surface,2,,,Image 1,,40,
P3,Intensity Max,268,268,268,0,268,268,268,268,1,,Surface,2,,,Image 1,,41,
P3,Intensity Max,220,220,220,0,220,220,220,220,1,,Surface,2,,,Image 1,,43,
,,,,,,,,,,,,,,,,,,,
C,Intensity Max,160,160,160,0,160,160,160,160,1,,Surface,2,,,Image 1,,32,
C,Intensity Max,320,320,320,0,320,320,320,320,1,,Surface,2,,,Image 1,,33,
C,Intensity Max,251,251,251,0,251,251,251,251,1,,Surface,2,,,Image 1,,34,
C,Intensity Max,350,350,350,0,350,350,350,350,1,,Surface,2,,,Image 1,,35,
C,Intensity Max,215,215,215,0,215,215,215,215,1,,Surface,2,,,Image 1,,36,
C,Intensity Max,219,219,219,0,219,219,219,219,1,,Surface,2,,,Image 1,,37,
C,Intensity Max,359,359,359,0,359,359,359,359,1,,Surface,2,,,Image 1,,38,
C,Intensity Max,309,309,309,0,309,309,309,309,1,,Surface,2,,,Image 1,,39,
C,Intensity Max,463,463,463,0,463,463,463,463,1,,Surface,2,,,Image 1,,40,
C,Intensity Max,379,379,379,0,379,379,379,379,1,,Surface,2,,,Image 1,,41,
C,Intensity Max,372,372,372,0,372,372,372,372,1,,Surface,2,,,Image 1,,42,
C,Intensity Max,315,315,315,0,315,315,315,315,1,,Surface,2,,,Image 1,,43,
C,Intensity Max,276,276,276,0,276,276,276,276,1,,Surface,2,,,Image 1,,44,
C,Intensity Max,162,162,162,0,162,162,162,162,1,,Surface,2,,,Image 1,,46,
